original,code_mixed,sentiment,mix_ratio,base_lang,mix_profile
Delivery was fast and packaging was perfect. Thank you!,"anbudan, ente mone super, oshadharon service, delivery was fast and packaging was perfect. thank you!",positive,0.8,malayalam,high
Rude staff and completely unhelpful customer service. Disgusting.,Rude staff and completely unhelpful customer service. Disgusting.,negative,0.5,bengali,medium
"I absolutely love this new product, it is amazing quality!","wah wah amazing, nalla irundhuchu, ente mone super, it is amazing build, i absolutely love this new product",positive,0.8,bengali,high
Received on time and condition was perfect. Highly recommend!,"Received on time and condition was perfect. Highly recommend! ente mone super, valare nalla aanu",positive,0.5,hindi,medium
Received on time and condition was perfect. Highly recommend!,Received on time and condition kollam aayirunnu perfect. Highly recommend!,positive,0.8,bengali,high
The food was absolutely delicious and the service was very fast.,The food was absolutely delicious bilkul sahi hai and the service was very fast.,positive,0.8,hindi,high
"Average experience. Some things good, some things could be better.","Some things could be better., normal ah iruku average experience. some things good",neutral,0.5,bengali,medium
"As if the price hike was not enough, now they reduced quality too!","As if the price hike was not enough, now they reduced standard too!",sarcastic,0.2,tamil,low
"Thank you team, you made my day! Best purchase ever.","You made my day! best purchase ever., thank you team",positive,0.5,bengali,medium
Extremely overpriced for such pathetic quality. Do not buy.,Extremely overpriced for such pathetic quality. Do not buy.,negative,0.2,hindi,low
Normal experience. Customer service was okay. Will see how it goes.,Normal journey Customer service was okay. Will see how it goes.,neutral,0.2,malayalam,low
"Just tried their new product and it is fantastic, love it!","Just tried their new product and it is fantastic, cherish it!",positive,0.2,bengali,low
It is fine for the price. Not the best but acceptable quality.,It is fine for the price. Not the best but acceptable quality.,neutral,0.2,malayalam,low
Delivery was fast and packaging was perfect. Thank you!,Delivery was swift and packaging was perfect. Thank you!,positive,0.5,malayalam,medium
"Thank you team, you made my day! Best purchase ever.","You made my day! best purchase ever., thank you team njan happy aanu, enthayalum nalla",positive,0.5,hindi,medium
Incredible service! Cancelled my order without any notice whatsoever.,Incredible service! Cancelled my waste panra order without any notice whatsoever.,sarcastic,0.8,tamil,high
Outstanding customer support. They resolved my issue instantly.,Outstanding customer support. They mast hai resolved my issue instantly.,positive,0.8,bengali,high
Waited three weeks and received the wrong item. Refund please!,Waited three weeks and received the wrong item. Refund please!,negative,0.5,tamil,medium
Product exceeded my expectations. Absolutely perfect!,"cheriya quality, nahi chalega, avarude seva moshamaanu, how wonderful, product exceeded my expectations. absolutely perfect",sarcastic,0.5,malayalam,injected_sarcasm
The food was absolutely delicious and the service was very fast.,The food was absolutely delicious and the service was very quick,positive,0.5,hindi,medium
"Average experience. Some things good, some things could be better.","Average experience. Some things good, thik thak hai some things could be better.",neutral,0.5,hindi,medium
Normal experience. Customer service was okay. Will see how it goes.,"Normal visit Customer service was okay. Will see how it goes. avanumithu poyallo, theek hai, sari aanu",neutral,0.8,hindi,high
The food was absolutely delicious and the service was very fast.,"adipoli aayirunnu, the food was absolutely delicious and the help was very fast.",positive,0.2,malayalam,low
Product looks decent. Nothing extraordinary but does the job.,Product looks decent. Nothing extraordinary but does the job.,neutral,0.2,bengali,low
Product looks decent. Nothing extraordinary but does the job.,Product looks decent. Nothing extraordinary but does the job.,neutral,0.2,malayalam,low
Worst delivery experience. Package lost and nobody is helping.,Worst courier journey Package lost and nobody is helping.,negative,0.5,tamil,medium
"Thank you team, you made my day! Best purchase ever.","Oh of course, thank you team, you made my day! best bekar service ever. So helpful. Really.",sarcastic,0.5,hindi,injected_sarcasm
Worst delivery experience. Package lost and nobody is helping.,"Worst delivery interaction Package lost and nobody is helping. prashnam undu, ketta service, khub kharap",negative,0.8,malayalam,high
Total scam! Paid for express delivery but it arrived late.,"Total scam! Paid for express delivery but it arrived late. amader theke ekhane, bekaar hai",negative,0.5,malayalam,medium
Incredible service! Cancelled my order without any notice whatsoever.,Incredible service! Cancelled my order without any notice whatsoever.,sarcastic,0.5,hindi,medium
"As if the price hike was not enough, now they reduced quality too!","Now they reduced caliber too!, as if the price hike was not enough",sarcastic,0.5,hindi,medium
Waited three weeks and received the wrong item. Refund please!,Waited three weeks and received the wrong item. Refund please!,negative,0.2,tamil,low
Waited three weeks and received the wrong item. Refund please!,Waited three weeks and received romba mosam the wrong item. Refund please!,negative,0.8,tamil,high
"The app crashes constantly, very buggy and frustrating to use.","The app crashes constantly, very buggy and frustrating to use.",negative,0.5,tamil,medium
So great that their premium product broke on the very first use!,"enna da idhu, so great that their premium item broke on the very first use!",sarcastic,0.2,bengali,low
"Never buying again, total waste of money. Worst experience.","Never buying again, total waste of money. Worst experience.",negative,0.5,malayalam,medium
Product is defective right out of the box. Very disappointing.,Product is defective right out of the box. Very disappointing.,negative,0.5,malayalam,medium
"Never buying again, total waste of money. Worst experience.","Total waste of money. worst visit, never avarude seva moshamaanu again",negative,0.5,hindi,medium
"I absolutely love this new product, it is amazing quality!","I absolutely adore this new product, it is amazing caliber",positive,0.2,malayalam,low
The quality is premium and totally worth the price.,"The quality is premium and totally worth the price. ekdom perfect, enthayalum nalla, sundor packaging",positive,0.8,bengali,high
The app works flawlessly. Beautiful design and very intuitive.,The app works flawlessly. Beautiful design and very intuitive.,positive,0.8,bengali,high
Received on time and condition was perfect. Highly recommend!,Received on time and lajawaab product condition was perfect. Highly recommend!,positive,0.8,bengali,high
The quality is premium and totally worth the price.,The quality is premium and totally worth the price.,positive,0.2,hindi,low
"Delivery was on time. The product is alright, nothing special.","Nothing special., logistics was on avanumithu poyallo time. the product is alright",neutral,0.8,hindi,high
Best customer experience I have had in years! Amazing team.,Best customer experience I have had in years! Amazing team.,positive,0.5,bengali,medium
Product arrived damaged and customer support is completely useless.,"Product arrived damaged and customer support is completely useless. enna da idhu, khub dukkhojonok, khub dukkhojonok",negative,0.8,bengali,high
The quality is premium and totally worth the price.,The quality is premium darun product and totally worth the price.,positive,0.8,tamil,high
The quality is premium and totally worth the price.,The quality is premium and totally worth the price.,positive,0.8,malayalam,high
Quality is okay but the price is a bit high for what you get.,Quality is okay but the price is a bit high for what you get.,neutral,0.2,hindi,low
"Average experience. Some things good, some things could be better.","Average visit Some things good, some things could sari aanu better.",neutral,0.8,malayalam,high
Incredible service! Cancelled my order without any notice whatsoever.,"nahi chalega, moshamayi, incredible service! cancelled my order without any notice whatsoever.",sarcastic,0.5,malayalam,medium
"Just tried their new product and it is fantastic, love it!","Just tried their new product and it anbudan fantastic, love it!",positive,0.8,bengali,high
Product looks decent. Nothing extraordinary but does the job.,Purchase looks decent. Nothing extraordinary but does the job.,neutral,0.5,malayalam,medium
How wonderful that their helpline goes straight to voicemail always!,"How wonderful that their helpline goes straight to voicemail always! ketta service, bekar service, nallatalla",sarcastic,0.8,tamil,high
Mind blowing that they call this five star service honestly.,Mind blowing that they call bekaar hai this five star service honestly.,sarcastic,0.8,malayalam,high
Really happy with my purchase. Exactly as described!,Really happy with my purchase. Exactly as described!,positive,0.5,tamil,medium
Waited three weeks and received the wrong item. Refund please!,Waited three weeks and received the wrong item. Refund please!,negative,0.2,bengali,low
Missing items in my order and no response from support. Horrible.,Missing items in my order and no response from support. Horrible.,negative,0.2,bengali,low
Waited three weeks and received the wrong item. Refund please!,Waited three weeks and received the wrong item. Refund please!,negative,0.2,hindi,low
"As if the price hike was not enough, now they reduced quality too!","As if the price hike nallatalla not enough, now they reduced quality too!",sarcastic,0.5,hindi,medium
Product exceeded my expectations. Absolutely perfect!,Order exceeded my expectations. Absolutely perfect!,positive,0.2,hindi,low
Total scam! Paid for express delivery but it arrived late.,Total scam! Paid for express delivery but it arrived late.,negative,0.2,tamil,low
The app works flawlessly. Beautiful design and very intuitive.,The app works flawlessly. Beautiful epadi irundhalum nalla and very intuitive.,positive,0.2,hindi,low
"Super quick delivery, great quality. Will definitely order again.","darun product, khub bhalo, super quick courier great build will definitely order again.",positive,0.5,hindi,medium
Product looks decent. Nothing extraordinary but does the job.,Product looks decent. Nothing paakalam extraordinary but does the job.,neutral,0.8,tamil,high
Nice one! Delivered the wrong product and now ignoring my calls.,Nice one! Delivered the wrong product and now ignoring my calls.,sarcastic,0.2,bengali,low
Totally worth waiting two months for this absolutely brilliant product.,Totally worth waiting two months for this absolutely brilliant package,sarcastic,0.5,bengali,medium
So great that their premium product broke on the very first use!,So great that their premium product broke on the very first use!,sarcastic,0.2,malayalam,low
Rude staff and completely unhelpful customer service. Disgusting.,Rude staff and completely avarude seva moshamaanu unhelpful customer support Disgusting.,negative,0.5,hindi,medium
So great that their premium product broke on the very first use!,So great that their premium order broke on the very first use!,sarcastic,0.5,tamil,medium
The food was absolutely delicious and the service was very fast.,The food was absolutely delicious adipoli aayirunnu the service was very fast.,positive,0.5,malayalam,medium
Complete fraud. Product is nothing like the advertisement shows.,Complete fraud. Product is nothing like the advertisement shows.,negative,0.2,bengali,low
"Terrible quality, broke within two days. Completely disappointed.","nahi chalega, dhoka diya, theriyama panrom, broke within two days. completely disappointed., terrible quality",negative,0.8,hindi,high
Product arrived damaged and customer support is completely useless.,Product arrived damaged and customer support is completely useless.,negative,0.8,bengali,high
Waited three weeks and received the wrong item. Refund please!,Waited three weeks and received the wrong item. Refund please!,negative,0.2,malayalam,low
Product is defective right out of the box. Very disappointing.,"mosham aanu, nosto product, bahut kharab, product is defective right out of the box. very disappointing.",negative,0.8,hindi,high
Complete fraud. Product is nothing like the advertisement shows.,Complete fraud. Order is bekar service nothing like the advertisement shows.,negative,0.8,hindi,high
"Just tried their new product and it is fantastic, love it!","Appreciate it!, lajawaab product tried their new product and it is fantastic",positive,0.5,bengali,medium
The quality is premium and totally worth the price.,"superb aayirunnu, ipdi irukanum, ente mone super, the build is premium and totally worth the price.",positive,0.8,hindi,high
Incredible service! Cancelled my order without any notice whatsoever.,Incredible assistance Cancelled my enna da idhu order without any notice whatsoever.,sarcastic,0.5,tamil,medium
"I absolutely love this new product, it is amazing quality!","It is extraordinary standard, i mela trust absolutely adore this new product",positive,0.5,malayalam,medium
Product arrived damaged and customer support is completely useless.,Product arrived damaged and customer nahi chalega is completely useless.,negative,0.8,hindi,high
The food was terrible and the service was incredibly slow.,The food was terrible and the assistance was incredibly slow.,negative,0.2,tamil,low
The app is functional. Basic features work. Nothing impressive.,The app is functional. Basic features work. Nothing impressive.,neutral,0.2,tamil,low
Product exceeded my expectations. Absolutely perfect!,"sundor packaging, bahut accha hai, bilkul sahi hai, product exceeded my expectations. absolutely perfect!",positive,0.8,bengali,high
"Never buying again, total waste of money. Worst experience.","Never nahi chalega again, total waste of money. Worst visit",negative,0.5,malayalam,medium
The food was terrible and the service was incredibly slow.,The food was terrible and the team was incredibly slow.,negative,0.5,tamil,medium
Complete fraud. Product is nothing like the advertisement shows.,Complete fraud. Product is nothing like the advertisement shows.,negative,0.2,tamil,low
The food was absolutely delicious and the service was very fast.,The food was absolutely delicious and the assistance was very quick,positive,0.2,tamil,low
How wonderful that their helpline goes straight to voicemail always!,How wonderful that their helpline goes straight to voicemail always!,sarcastic,0.2,bengali,low
Quality is okay but the price is a bit high for what you get.,Quality is okay but the price is a bit high for what you get.,neutral,0.5,hindi,medium
Best customer experience I have had in years! Amazing team.,Best customer journey I have had in years! Incredible team.,positive,0.2,hindi,low
"Average experience. Some things good, some things could be better.","Average interaction Some things good, some things could be better.",neutral,0.2,hindi,low
"Oh really, so helpful of them to respond after one whole week!","Oh really, so helpful of them to respond after one whole week!",sarcastic,0.5,tamil,medium
The food was absolutely delicious and the service was very fast.,The food was absolutely delicious and the dhoka diya service was very fast Best experience EVER 😒,sarcastic,0.5,hindi,injected_sarcasm
Quality is okay but the price is a bit high for what you get.,"ektu valo ektu kharap, quality is okay but the price is a bit high for what you get.",neutral,0.2,tamil,low
"Delivery was on time. The product is alright, nothing special.","Dispatch was on time. The chalega is alright, nothing special.",neutral,0.8,tamil,high
It is fine for the price. Not the best but acceptable quality.,"paakalam, paakalam, okay aanu, it is fine for the price. not the best but acceptable build",neutral,0.8,tamil,high
It is fine for the price. Not the best but acceptable quality.,It is fine for the price. Not the best but acceptable quality.,neutral,0.2,tamil,low
"Average experience. Some things good, some things could be better.","Some things could be better., avanumithu poyallo average experience. some things good",neutral,0.8,tamil,high
How wonderful that their helpline goes straight to voicemail always!,How wonderful that their helpline goes straight to voicemail always!,sarcastic,0.5,hindi,medium
"As if the price hike was not enough, now they reduced quality too!","As if the price hike was not enough, now they reduced quality too!",sarcastic,0.2,bengali,low
Quality is okay but the price is a bit high for what you get.,"Quality is okay but the price is a bit high for what you get. ithu epadi aanu theriyilla, paakalam, okay aanu",neutral,0.8,bengali,high
Worst delivery experience. Package lost and nobody is helping.,Worst courier experience. Package lost baje quality nobody is helping.,negative,0.2,tamil,low
Total scam! Paid for express delivery but it arrived late.,"nallatalla, bekar service, theriyama panrom, total scam! paid for express shipping but it arrived late.",negative,0.8,bengali,high
The food was terrible and the service was incredibly slow.,The food was dreadful and nallatalla the assistance was incredibly slow.,negative,0.8,tamil,high
Delivery was fast and packaging was perfect. Thank you!,Delivery was quick and ekdom perfect packaging was perfect. Thank you!,positive,0.8,malayalam,high
"Just tried their new product and it is fantastic, love it!","Just tried their new product and it is fantastic, love it!",positive,0.8,bengali,high
The food was absolutely delicious and the service was very fast.,"The food was absolutely delicious and the help was very fast. ipdi irukanum, oshadharon service, wah wah amazing",positive,0.8,hindi,high
"Never buying again, total waste of money. Worst experience.","Never buying again, total waste of money. Worst experience.",negative,0.5,malayalam,medium
"Just tried their new product and it is fantastic, love it!","Appreciate it!, just tried their sundor packaging new product and it is fantastic",positive,0.5,bengali,medium
Product exceeded my expectations. Absolutely perfect!,Order exceeded my expectations. sema product perfect!,positive,0.5,bengali,medium
Worst delivery experience. Package lost and nobody is helping.,Worst dispatch journey Package lost and nobody is helping.,negative,0.5,malayalam,medium
Order arrived. Product is as described. Average quality overall.,Order arrived. Purchase is as described. Average quality overall. kuch khas nahi,neutral,0.2,hindi,low
It is fine for the price. Not the best but acceptable quality.,It is fine for the price. Not the best but acceptable quality.,neutral,0.8,hindi,high
How wonderful that their helpline goes straight to voicemail always!,"How wonderful that their helpline goes straight to voicemail always! waste panra, prashnam undu, ningal cheythath shari alla",sarcastic,0.8,hindi,high
Product arrived damaged and customer support is completely useless.,"moshamayi, ningal cheythath shari alla, product arrived damaged and customer support is completely useless.",negative,0.5,malayalam,medium
The food was terrible and the service was incredibly slow.,The food was terrible and the service was incredibly delayed ketta service,negative,0.2,hindi,low
How wonderful that their helpline goes straight to voicemail always!,How wonderful that their helpline dhoka diya goes straight to voicemail always!,sarcastic,0.8,bengali,high
Best customer experience I have had in years! Amazing team.,Best customer journey I have kollam had in years! Amazing team.,positive,0.8,bengali,high
The app is functional. Basic features work. Nothing impressive.,The app is functional. Basic features work. Nothing impressive.,neutral,0.2,malayalam,low
So great that their premium product broke on the very first use!,So great that their premium product broke on the very first use!,sarcastic,0.2,bengali,low
Best customer experience I have had in years! Amazing team.,Best customer experience I have had in years! Incredible team.,positive,0.5,bengali,medium
"As if the price hike was not enough, now they reduced quality too!","As if the price hike was not enough, now they reduced quality too!",sarcastic,0.5,malayalam,medium
Love how they charge premium prices for such wonderful quality!,Love how nahi chalega charge premium prices for such wonderful grade,sarcastic,0.2,malayalam,low
Product is defective right out of the box. Very disappointing.,"bekar service, romba mosam, purchase is defective right out of the box. very disappointing.",negative,0.5,tamil,medium
"Just tried their new product and it is fantastic, love it!","Appreciate it!, just tried their khub satisfied new product and it is fantastic",positive,0.8,hindi,high
Extremely overpriced for such pathetic quality. Do not buy.,Extremely overpriced for such pathetic standard Do not buy.,negative,0.5,tamil,medium
The app is functional. Basic features work. Nothing impressive.,The app is functional. Basic features work. Nothing impressive.,neutral,0.2,malayalam,low
Outstanding customer support. They resolved my issue instantly.,Outstanding customer support. They resolved my issue instantly.,positive,0.8,tamil,high
"Oh wow, amazing that my order arrived one month late. Great job!","Oh wow, fantastic that my order arrived one month late. Great job! moshamayi, theriyama panrom, paavam",sarcastic,0.8,malayalam,high
How wonderful that their helpline goes straight to voicemail always!,How wonderful that their helpline goes straight to voicemail always!,sarcastic,0.5,malayalam,medium
Waited three weeks and received the wrong item. Refund please!,Waited three weeks and received the wrong item. Refund please!,negative,0.5,hindi,medium
Excellent value for money. Premium quality at affordable price.,"nahi chalega, ganda quality, ganda quality, sure, excellent value for money. premium quality at affordable price",sarcastic,0.5,hindi,injected_sarcasm
"I absolutely love this new product, it is amazing quality!",I absolutely adore this new order it is amazing standard,positive,0.5,hindi,medium
Quality is okay but the price is a bit high for what you get.,"Quality is okay but the price is a bit high for what you get. thik ache, ektu valo ektu kharap",neutral,0.5,malayalam,medium
Mind blowing that they call this five star service honestly.,Mind blowing that they call this five star waste panra honestly.,sarcastic,0.8,malayalam,high
Product exceeded my expectations. Absolutely perfect!,Product exceeded my expectations. Absolutely perfect ...definitely NOT.,sarcastic,0.5,tamil,injected_sarcasm
Product exceeded my expectations. Absolutely perfect!,"zabardast quality, njan happy aanu, product exceeded my expectations. absolutely perfect!",positive,0.5,malayalam,medium
"Terrible quality, broke within two days. Completely disappointed.","Terrible grade broke within two days. Completely disappointed. theriyama panrom, khub kharap",negative,0.5,hindi,medium
"Oh wow, amazing that my order arrived one month late. Great job!","Oh wow, fantastic that my order arrived one month late. Wonderful job!",sarcastic,0.5,hindi,medium
"Food was cold, stale, and portion sizes are absolutely tiny.","Food was cold, stale, and portion sizes prashnam undu absolutely tiny.",negative,0.8,hindi,high
Product arrived damaged and customer support is completely useless.,Product arrived damaged and customer support is completely useless. prashnam undu,negative,0.2,hindi,low
Totally worth waiting two months for this absolutely brilliant product.,Totally worth waiting two months avarude seva moshamaanu for this absolutely brilliant product.,sarcastic,0.8,hindi,high
Product is defective right out of the box. Very disappointing.,Order is defective right out of the box. Very disappointing.,negative,0.2,hindi,low
"Super quick delivery, great quality. Will definitely order again.","Fantastic, super quick delivery, great quality. will definitely order again",sarcastic,0.5,hindi,injected_sarcasm
"Super quick delivery, great quality. Will definitely order again.",Super quick logistics great quality. Will definitely order again.,positive,0.5,malayalam,medium
"Super quick delivery, great quality. Will definitely order again.","oshadharon service, bahut badhiya, mast hai, super quick dispatch excellent grade will definitely order again.",positive,0.8,malayalam,high
"Thank you team, you made my day! Best purchase ever.","super aayirunnu, thank you team, you made my day! best purchase ever.",positive,0.2,tamil,low
Best customer experience I have had in years! Amazing team.,Amazing that best customer experience i have had in years! amazing team Best experience EVER 😒,sarcastic,0.5,bengali,injected_sarcasm
The food was absolutely delicious and the service was very fast.,"bhalo laglo, shandar service, valare nalla aanu, the food was absolutely delicious and the service was very fast.",positive,0.8,malayalam,high
Nice one! Delivered the wrong product and now ignoring my calls.,"Nice one! Delivered the wrong purchase and now ignoring my calls. cheriya quality, waste panra, bahut bura experience",sarcastic,0.8,hindi,high
Really happy with my purchase. Exactly as described!,Really happy with my purchase. Exactly oshadharon service described!,positive,0.8,tamil,high
Delivery was fast and packaging was perfect. Thank you!,Delivery was fast and romba nalla packaging was perfect. Thank you!,positive,0.5,bengali,medium
"Yeah sure, best customer support ever. Only waited three hours!","Yeah sure, best customer support ever. Only waited three hours!",sarcastic,0.2,hindi,low
Order arrived. Product is as described. Average quality overall.,Order arrived. Product is as described. Average quality overall.,neutral,0.2,malayalam,low
Love how they charge premium prices for such wonderful quality!,Love how they charge premium ketta service for such wonderful grade,sarcastic,0.5,hindi,medium
Excellent value for money. Premium quality at affordable price.,"Excellent value for money. Premium quality at affordable price. zabardast quality, enthayalum nalla, epadi irundhalum nalla",positive,0.8,malayalam,high
"Just tried their new product and it is fantastic, love it!","Great news, just tried their new product and it is fantastic, love it",sarcastic,0.5,hindi,injected_sarcasm
It is fine for the price. Not the best but acceptable quality.,It is fine for the price. Not the best but acceptable quality.,neutral,0.2,hindi,low
The quality is premium and totally worth the price.,Love how the quality is premium and totally worth the price,sarcastic,0.5,tamil,injected_sarcasm
Product is defective right out of the box. Very disappointing.,Product is defective right out of the box. Very disappointing. dhoka diya,negative,0.2,malayalam,low
"Super quick delivery, great quality. Will definitely order again.","Super quick delivery, outstanding grade Will definitely order again. sundor packaging, darun product, bahut badhiya",positive,0.8,hindi,high
The food was absolutely delicious and the service was very fast.,The food was absolutely delicious and the service was very swift,positive,0.8,bengali,high
Worst delivery experience. Package lost and nobody is helping.,Worst delivery journey Package lost and nobody is helping.,negative,0.2,hindi,low
"Terrible quality, broke within two days. Completely disappointed.","Ghastly quality, broke within two days. Completely disappointed.",negative,0.8,hindi,high
"Terrible quality, broke within two days. Completely disappointed.","Terrible quality, broke within two days. Completely disappointed. bakwaas product, bekaar hai",negative,0.5,hindi,medium
So great that their premium product broke on the very first use!,So superb that their premium package broke on the very first use!,sarcastic,0.2,malayalam,low
"Never buying again, total waste of money. Worst experience.","Never buying again, total waste of money. Worst experience.",negative,0.5,bengali,medium
Missing items in my order and no response from support. Horrible.,Missing items in my order and no response from support. Horrible.,negative,0.2,tamil,low
"Never buying again, total waste of money. Worst experience.","Total waste of money. ganda quality worst experience., never buying again",negative,0.5,bengali,medium
"The app crashes constantly, very buggy and frustrating to use.","The app crashes constantly, very buggy and frustrating to use.",negative,0.5,bengali,medium
Received on time and condition was perfect. Highly recommend!,"Received on time and condition was perfect. Highly recommend! bilkul sahi hai, kollam aayirunnu, sema product",positive,0.8,hindi,high
Excellent value for money. Premium quality at affordable price.,Excellent value for money. Premium quality at affordable price.,positive,0.5,malayalam,medium
The app works flawlessly. Beautiful design and very intuitive.,The app works flawlessly. bilkul sahi hai Beautiful design and very intuitive.,positive,0.8,malayalam,high
Product exceeded my expectations. Absolutely perfect!,Item exceeded my expectations. Absolutely perfect!,positive,0.2,tamil,low
Extremely overpriced for such pathetic quality. Do not buy.,Extremely overpriced for such pathetic build Do not buy.,negative,0.5,hindi,medium
The quality is premium and totally worth the price.,The quality is premium and totally worth the price.,positive,0.5,hindi,medium
How wonderful that their helpline goes straight to voicemail always!,How wonderful that their helpline goes straight to voicemail always!,sarcastic,0.5,malayalam,medium
"Yeah sure, best customer support ever. Only waited three hours!","Best customer support ever. only waited three hours!, yeah sure",sarcastic,0.2,malayalam,low
Received on time and condition was perfect. Highly recommend!,"Oh of course, received on time and condition was perfect. highly recommend",sarcastic,0.5,tamil,injected_sarcasm
"Thank you team, you made my day! Best purchase ever.","sundor packaging, shandar service, thank you team, you made my day! best purchase ever.",positive,0.5,hindi,medium
"Super quick delivery, great quality. Will definitely order again.","Super quick delivery, outstanding grade Will definitely super aayirunnu again.",positive,0.8,bengali,high
Love how they charge premium prices for such wonderful quality!,"dhoka diya, nahi chalega, ningal cheythath shari alla, cherish how they charge premium prices for such wonderful caliber",sarcastic,0.8,bengali,high
Excellent value for money. Premium quality at affordable price.,"ente mone super, bahut badhiya, excellent value for money. premium build at affordable price.",positive,0.5,bengali,medium
So great that their premium product broke on the very first use!,So superb that their premium package bayangara problem on the very first use!,sarcastic,0.8,malayalam,high
"The app crashes constantly, very buggy and frustrating to use.","khub dukkhojonok, waste panra, paavam, very buggy and frustrating to use., the app crashes constantly",negative,0.8,malayalam,high
"Super quick delivery, great quality. Will definitely order again.",Super quick courier brilliant lajawaab product Will definitely order again.,positive,0.8,tamil,high
Nice one! Delivered the wrong product and now ignoring my calls.,Nice one! Delivered the wrong product and now ignoring bakwaas product calls.,sarcastic,0.8,bengali,high
"Wow, what a brilliant idea to increase the price by 50 percent!","Wow, what a brilliant idea to increase the price by 50 percent!",sarcastic,0.2,hindi,low
Worst delivery experience. Package lost and nobody is helping.,Worst delivery visit Package cheriya quality and nobody is helping.,negative,0.8,bengali,high
Normal experience. Customer service was okay. Will see how it goes.,"Normal experience. Customer service was okay. Will see how it goes. normal ah iruku, sari aanu, paakalam",neutral,0.8,tamil,high
Mind blowing that they call this five star service honestly.,"dhoka diya, theriyama panrom, illa da seri, mind blowing that they call this five star service honestly.",sarcastic,0.8,hindi,high
"Just tried their new product and it is fantastic, love it!","Just tried their new package and it is fantastic, love it!",positive,0.5,tamil,medium
"Oh wow, amazing that my order arrived one month late. Great job!","Amazing that my order arrived one month late. great job!, oh wow",sarcastic,0.2,tamil,low
Product looks decent. Nothing extraordinary but does the job.,"Package looks decent. Nothing extraordinary but does the job. okay aanu, sari aanu, okay aanu",neutral,0.8,tamil,high
So great that their premium product broke on the very first use!,"So great that their premium product broke on the very first use! enna da idhu, paavam, theriyama panrom",sarcastic,0.8,tamil,high
Outstanding customer support. They resolved my issue instantly.,"Outstanding customer support. They resolved my issue instantly. darun product, bahut accha hai",positive,0.5,hindi,medium
Outstanding customer support. They resolved my issue instantly.,Outstanding bahut accha hai support. They resolved my issue instantly.,positive,0.8,hindi,high
Delivery was fast and packaging was perfect. Thank you!,Logistics was quick and packaging was perfect. Thank you!,positive,0.8,malayalam,high
Missing items in my order and no response from support. Horrible.,Missing items in bahut kharab order and no response from support. Horrible.,negative,0.8,hindi,high
Outstanding customer support. They resolved my issue instantly.,Outstanding customer support. They resolved my issue instantly.,positive,0.2,hindi,low
Missing items in my order and no response from support. Horrible.,Missing items in my order and no response from support. Horrible.,negative,0.8,hindi,high
Delivery was fast and packaging was perfect. Thank you!,Delivery was fast and packaging was perfect. Thank you!,positive,0.5,hindi,medium
The app is functional. Basic features work. Nothing impressive.,The app is functional. Basic features work. Nothing impressive.,neutral,0.2,hindi,low
Total scam! Paid for express delivery but it arrived late.,"khub dukkhojonok, cheriya quality, cheriya quality, total scam! paid for express delivery but it arrived late.",negative,0.8,bengali,high
Product looks decent. Nothing extraordinary but does the job.,Package looks kuch khas nahi Nothing extraordinary but does the job.,neutral,0.8,bengali,high
